yaml_file	sequence_length	peak_memory_mb	runtime_seconds	success	failure_reason	timestamp
BR_F4I3V6.yaml	226	3837	94.53	TRUE	Process completed successfully with valid output	2025/7/21 23:17
BR_O23366.yaml	227	4665	94.84	TRUE	Process completed successfully with valid output	2025/7/21 23:18
BR_Q9ZQP3.yaml	228	10309	98.31	TRUE	Process completed successfully with valid output	2025/7/21 23:20
BR_O48671.yaml	229	6665	96.71	TRUE	Process completed successfully with valid output	2025/7/21 23:22
BR_F4KEG7.yaml	230	4867	95.92	TRUE	Process completed successfully with valid output	2025/7/21 23:24
BR_Q9ZU82.yaml	231	4213	95.8	TRUE	Process completed successfully with valid output	2025/7/21 23:25
BR_Q9LRN9.yaml	232	4231	95.72	TRUE	Process completed successfully with valid output	2025/7/21 23:27
BR_Q9LK79.yaml	233	4253	96.52	TRUE	Process completed successfully with valid output	2025/7/21 23:29
BR_Q8VYT4.yaml	234	4333	96.78	TRUE	Process completed successfully with valid output	2025/7/21 23:31
BR_F4JDQ4.yaml	235	3791	97.44	TRUE	Process completed successfully with valid output	2025/7/21 23:32
BR_Q9M9G0.yaml	236	4895	97.4	TRUE	Process completed successfully with valid output	2025/7/21 23:34
BR_Q9SEI0.yaml	237	10695	100.53	TRUE	Process completed successfully with valid output	2025/7/21 23:36
BR_Q9FYD2.yaml	238	3793	95.87	TRUE	Process completed successfully with valid output	2025/7/21 23:38
BR_Q8L3R2.yaml	239	10777	100.28	TRUE	Process completed successfully with valid output	2025/7/21 23:39
BR_O48787.yaml	240	10845	100.56	TRUE	Process completed successfully with valid output	2025/7/21 23:41
BR_A0A1P8AW53.yaml	241	4723	97.23	TRUE	Process completed successfully with valid output	2025/7/21 23:43
BR_Q2PE70.yaml	242	7637	98.45	TRUE	Process completed successfully with valid output	2025/7/21 23:45
BR_Q9LPM3.yaml	243	3925	96.49	TRUE	Process completed successfully with valid output	2025/7/21 23:46
BR_Q9SJ54.yaml	244	5043	97.8	TRUE	Process completed successfully with valid output	2025/7/21 23:48
BR_P94072.yaml	245	11049	100.03	TRUE	Process completed successfully with valid output	2025/7/21 23:50
BR_F4K9F4.yaml	246	3883	97.47	TRUE	Process completed successfully with valid output	2025/7/21 23:52
BR_P0DKI0.yaml	247	5205	98.6	TRUE	Process completed successfully with valid output	2025/7/21 23:54
BR_Q3EC49.yaml	248	11163	101.35	TRUE	Process completed successfully with valid output	2025/7/21 23:55
BR_Q8GYA8.yaml	249	4493	96.17	TRUE	Process completed successfully with valid output	2025/7/21 23:57
BR_P28186.yaml	250	11307	100.27	TRUE	Process completed successfully with valid output	2025/7/21 23:59
BR_Q9FG59.yaml	251	7403	99.06	TRUE	Process completed successfully with valid output	2025/7/22 0:01
BR_F4IMB6.yaml	252	3789	96.84	TRUE	Process completed successfully with valid output	2025/7/22 0:02
BR_F4I3A5.yaml	253	4017	97.64	TRUE	Process completed successfully with valid output	2025/7/22 0:04
BR_Q93VT9.yaml	254	10115	100.09	TRUE	Process completed successfully with valid output	2025/7/22 0:06
BR_O82354.yaml	255	5067	97.5	TRUE	Process completed successfully with valid output	2025/7/22 0:08
BR_Q9LZ65.yaml	256	11513	100.16	TRUE	Process completed successfully with valid output	2025/7/22 0:10
BR_F4JKV3.yaml	257	4219	96.16	TRUE	Process completed successfully with valid output	2025/7/22 0:11
BR_Q9SXH3.yaml	258	11649	100.85	TRUE	Process completed successfully with valid output	2025/7/22 0:13
BR_O80365.yaml	259	11697	100.92	TRUE	Process completed successfully with valid output	2025/7/22 0:15
BR_Q9FFP0.yaml	260	5325	97.64	TRUE	Process completed successfully with valid output	2025/7/22 0:17
BR_Q9LTS8.yaml	261	3915	95.93	TRUE	Process completed successfully with valid output	2025/7/22 0:19
BR_Q5MK23.yaml	262	5355	97.6	TRUE	Process completed successfully with valid output	2025/7/22 0:20
BR_Q9SFF9.yaml	263	11879	101.12	TRUE	Process completed successfully with valid output	2025/7/22 0:22
BR_Q9FGI2.yaml	264	3987	97.47	TRUE	Process completed successfully with valid output	2025/7/22 0:24
BR_Q9FWZ4.yaml	265	7639	99.27	TRUE	Process completed successfully with valid output	2025/7/22 0:26
BR_Q9C5D7.yaml	266	12013	101.45	TRUE	Process completed successfully with valid output	2025/7/22 0:27
BR_Q9M122.yaml	267	5619	98.67	TRUE	Process completed successfully with valid output	2025/7/22 0:29
BR_Q8VYC9.yaml	268	6143	98.87	TRUE	Process completed successfully with valid output	2025/7/22 0:31
BR_O80927.yaml	269	12131	101.5	TRUE	Process completed successfully with valid output	2025/7/22 0:33
BR_A0A1P8B399.yaml	270	3791	98.9	TRUE	Process completed successfully with valid output	2025/7/22 0:35
BR_Q9LM90.yaml	271	4631	97.82	TRUE	Process completed successfully with valid output	2025/7/22 0:36
BR_Q9ZQQ1.yaml	272	4441	97.96	TRUE	Process completed successfully with valid output	2025/7/22 0:38
BR_Q8LFH5.yaml	273	8673	99.78	TRUE	Process completed successfully with valid output	2025/7/22 0:40
BR_O49743.yaml	274	12359	101.63	TRUE	Process completed successfully with valid output	2025/7/22 0:42
BR_Q8GWR2.yaml	275	7985	99.42	TRUE	Process completed successfully with valid output	2025/7/22 0:44
BR_Q9C9Q1.yaml	276	5205	98.41	TRUE	Process completed successfully with valid output	2025/7/22 0:45
BR_Q84WK5.yaml	277	7803	99.81	TRUE	Process completed successfully with valid output	2025/7/22 0:47
BR_Q9LF17.yaml	278	4835	98.18	TRUE	Process completed successfully with valid output	2025/7/22 0:49
BR_Q9M060.yaml	279	8417	99.46	TRUE	Process completed successfully with valid output	2025/7/22 0:51
BR_Q7DLR9.yaml	280	7803	97.84	TRUE	Process completed successfully with valid output	2025/7/22 0:52
BR_Q9FIX5.yaml	281	9681	101.01	TRUE	Process completed successfully with valid output	2025/7/22 0:54
BR_F4IQ30.yaml	282	4683	98.05	TRUE	Process completed successfully with valid output	2025/7/22 0:56
BR_Q9FFC9.yaml	283	4207	97.59	TRUE	Process completed successfully with valid output	2025/7/22 0:58
BR_Q9LSS3.yaml	284	6411	99.07	TRUE	Process completed successfully with valid output	2025/7/22 1:00
BR_Q9LK22.yaml	285	6851	98.21	TRUE	Process completed successfully with valid output	2025/7/22 1:01
BR_Q9C8U4.yaml	286	11385	100.53	TRUE	Process completed successfully with valid output	2025/7/22 1:03
BR_O22874.yaml	287	11445	101.65	TRUE	Process completed successfully with valid output	2025/7/22 1:05
BR_Q9S9W2.yaml	288	12985	101.2	TRUE	Process completed successfully with valid output	2025/7/22 1:07
BR_Q39081.yaml	289	13093	102.72	TRUE	Process completed successfully with valid output	2025/7/22 1:09
BR_Q96326.yaml	290	13111	103.26	TRUE	Process completed successfully with valid output	2025/7/22 1:11
BR_Q9LRK9.yaml	291	9257	101.06	TRUE	Process completed successfully with valid output	2025/7/22 1:12
BR_Q8LBF7.yaml	292	10525	101.86	TRUE	Process completed successfully with valid output	2025/7/22 1:14
BR_O82798.yaml	293	13239	102.95	TRUE	Process completed successfully with valid output	2025/7/22 1:16
BR_Q8L4N1.yaml	294	9179	101.38	TRUE	Process completed successfully with valid output	2025/7/22 1:18
BR_Q8H1G2.yaml	295	5201	99.26	TRUE	Process completed successfully with valid output	2025/7/22 1:20
BR_Q9FNA1.yaml	296	6185	100.34	TRUE	Process completed successfully with valid output	2025/7/22 1:22
BR_Q8GRT9.yaml	297	11203	102.36	TRUE	Process completed successfully with valid output	2025/7/22 1:23
BR_Q9FGJ8.yaml	298	5717	99.59	TRUE	Process completed successfully with valid output	2025/7/22 1:25
BR_Q9LFN4.yaml	299	4947	98.8	TRUE	Process completed successfully with valid output	2025/7/22 1:27
BR_O23684.yaml	300	4079	98.86	TRUE	Process completed successfully with valid output	2025/7/22 1:29
BR_Q9LSU9.yaml	301	4135	97.63	TRUE	Process completed successfully with valid output	2025/7/22 1:30
BR_O82790.yaml	302	5811	99.93	TRUE	Process completed successfully with valid output	2025/7/22 1:32
BR_Q9ZVC3.yaml	303	13603	101.78	TRUE	Process completed successfully with valid output	2025/7/22 1:34
BR_Q9C546.yaml	304	12663	103.47	TRUE	Process completed successfully with valid output	2025/7/22 1:36
BR_Q9C7F4.yaml	305	4889	100.03	TRUE	Process completed successfully with valid output	2025/7/22 1:38
BR_Q9LXV5.yaml	306	8201	100.01	TRUE	Process completed successfully with valid output	2025/7/22 1:40
BR_A0A1P8B2W3.yaml	307	9339	101.71	TRUE	Process completed successfully with valid output	2025/7/22 1:41
BR_Q8GUP2.yaml	308	10497	102.04	TRUE	Process completed successfully with valid output	2025/7/22 1:43
BR_Q9SUR3.yaml	309	7845	101.33	TRUE	Process completed successfully with valid output	2025/7/22 1:45
BR_P54904.yaml	310	14017	104.26	TRUE	Process completed successfully with valid output	2025/7/22 1:47
BR_O24603.yaml	311	14081	104.39	TRUE	Process completed successfully with valid output	2025/7/22 1:49
BR_Q9C6B3.yaml	312	14123	104.15	TRUE	Process completed successfully with valid output	2025/7/22 1:51
BR_Q9C870.yaml	313	8775	102.14	TRUE	Process completed successfully with valid output	2025/7/22 1:53
BR_O82305.yaml	314	4387	98.1	TRUE	Process completed successfully with valid output	2025/7/22 1:54
BR_Q9LJ72.yaml	315	5221	98.63	TRUE	Process completed successfully with valid output	2025/7/22 1:56
